죄종별,항목,단위,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,행정구역
총계,발생건수[건],건,476348,417066,388938,394276,394226,357243,364534,경기
강력범죄,발생건수[건],건,5885,5973,5828,5780,5518,5105,5556,경기
살인기수,발생건수[건],건,86,54,67,64,76,51,67,경기
살인,발생건수[건],건,67,41,45,47,65,39,46,경기
영아살해,발생건수[건],건,2,0,3,1,2,3,2,경기
존속살해,발생건수[건],건,11,6,8,7,5,7,7,경기
촉탁·승낙살인,발생건수[건],건,0,0,1,0,1,0,1,경기
자살교사·방조,발생건수[건],건,6,7,9,7,3,1,9,경기
위계·위력·촉탁·승낙살인,발생건수[건],건,0,0,0,1,0,0,0,경기
특가법(보복살인등),발생건수[건],건,0,0,1,1,0,0,1,경기
아동학대처벌법(아동학대살해),발생건수[건],건,0,0,0,0,0,1,1,경기
살인미수등,발생건수[건],건,165,124,128,105,83,102,100,경기
살인,발생건수[건],건,154,114,113,95,67,91,93,경기
영아살해,발생건수[건],건,0,0,0,0,0,1,0,경기
존속살해,발생건수[건],건,9,7,8,4,8,7,3,경기
촉탁·승낙살인,발생건수[건],건,0,0,0,0,1,1,1,경기
자살교사·방조,발생건수[건],건,2,3,7,5,7,2,3,경기
위계·위력·촉탁·승낙살인,발생건수[건],건,0,0,0,1,0,0,0,경기
강도,발생건수[건],건,186,206,166,181,158,88,111,경기
강도,발생건수[건],건,37,32,38,26,26,15,11,경기
준강도,발생건수[건],건,19,14,17,15,16,10,14,경기
특수강도,발생건수[건],건,50,81,44,83,63,24,44,경기
준특수강도,발생건수[건],건,0,0,0,2,1,1,1,경기
강도상해·치상,발생건수[건],건,69,62,51,42,47,32,36,경기
강도살인·치사,발생건수[건],건,7,7,3,6,5,4,2,경기
해상강도(살인·치사·상해·치상),발생건수[건],건,0,0,0,0,0,0,0,경기
인질강도,발생건수[건],건,2,1,1,1,0,0,0,경기
강도강간,발생건수[건],건,2,7,11,6,0,2,1,경기
(특수·인질·해상)강도(상습),발생건수[건],건,0,0,0,0,0,0,0,경기
특가법(강도),발생건수[건],건,0,1,1,0,0,0,2,경기
특가법(강도상해재범),발생건수[건],건,0,1,0,0,0,0,0,경기
강간,발생건수[건],건,1184,1129,1134,1125,1192,1231,1184,경기
강간,발생건수[건],건,532,461,495,495,514,487,480,경기
강간(상습),발생건수[건],건,0,0,0,0,2,0,1,경기
준강간,발생건수[건],건,202,214,223,226,243,229,216,경기
준강간(상습),발생건수[건],건,0,0,0,0,0,0,0,경기
강간상해·치상,발생건수[건],건,81,68,67,67,51,62,42,경기
강간살인·치사,발생건수[건],건,0,0,0,0,1,0,0,경기
미성년자간음(심신미약자),발생건수[건],건,1,0,4,3,6,15,21,경기
업무상위력에의한간음,발생건수[건],건,4,4,5,8,14,1,3,경기
친족관계에의한강간,발생건수[건],건,42,41,40,24,29,31,26,경기
장애인에대한강간·간음,발생건수[건],건,60,47,58,70,86,76,53,경기
청소년에대한강간·간음,발생건수[건],건,148,179,137,130,132,121,104,경기
미성년자의제강간,발생건수[건],건,14,17,14,22,54,117,152,경기
13세미만미성년자강간·간음,발생건수[건],건,18,19,14,20,14,20,19,경기
특수강간(준),발생건수[건],건,52,49,56,46,27,44,43,경기
주거침입강간,발생건수[건],건,24,26,17,11,17,18,7,경기
절도강간,발생건수[건],건,1,0,0,0,0,0,0,경기
특수강도강간,발생건수[건],건,5,4,4,3,2,3,3,경기
아동학대처벌법위반(상습강간·간음),발생건수[건],건,0,0,0,0,0,0,0,경기
16세미만아동·청소년간음,발생건수[건],건,0,0,0,0,0,7,14,경기
유사강간,발생건수[건],건,130,129,163,184,191,175,196,경기
유사강간,발생건수[건],건,61,54,86,94,97,84,88,경기
유사강간(상습),발생건수[건],건,0,0,0,0,0,0,0,경기
준유사강간,발생건수[건],건,13,17,23,33,31,29,45,경기
준유사강간(상습),발생건수[건],건,0,0,0,0,0,0,0,경기
유사강간상해·치상,발생건수[건],건,4,6,4,3,6,3,3,경기
유사강간살인·치사,발생건수[건],건,0,0,0,0,0,0,0,경기
미성년자의제유사강간,발생건수[건],건,0,1,2,2,7,5,8,경기
유사성행위,발생건수[건],건,48,50,41,51,47,52,48,경기
주거침입유사강간,발생건수[건],건,3,1,7,1,2,2,4,경기
절도유사강간,발생건수[건],건,0,0,0,0,0,0,0,경기
특수강도유사강간,발생건수[건],건,1,0,0,0,1,0,0,경기
아동학대처벌법위반(상습유사강간),발생건수[건],건,0,0,0,0,0,0,0,경기
강제추행,발생건수[건],건,3712,3956,3744,3752,3500,3162,3569,경기
강제추행,발생건수[건],건,2419,2571,2532,2555,2530,2212,2511,경기
강제추행(상습),발생건수[건],건,6,1,6,1,4,5,7,경기
준강제추행,발생건수[건],건,138,197,156,178,152,155,152,경기
준강제추행(상습),발생건수[건],건,0,0,0,0,0,0,0,경기
강제추행상해·치상,발생건수[건],건,43,42,21,36,47,23,24,경기
강제추행살인·치사,발생건수[건],건,0,0,0,0,0,0,0,경기
업무상위력등에의한추행,발생건수[건],건,67,85,72,54,74,89,80,경기
친족관계에의한강제추행,발생건수[건],건,79,68,77,80,71,72,73,경기
장애인에대한강제추행·추행,발생건수[건],건,59,74,67,84,79,59,78,경기
청소년에대한강제추행·추행,발생건수[건],건,394,417,341,259,202,192,210,경기
미성년자추행(심신미약자),발생건수[건],건,0,1,0,0,2,4,2,경기
미성년자의제강제추행,발생건수[건],건,3,5,7,6,5,11,10,경기
13세미만미성년자강제추행·추행,발생건수[건],건,185,175,196,236,174,187,218,경기
공중밀집장소에서의추행,발생건수[건],건,265,280,236,224,136,108,153,경기
특수강제추행(준),발생건수[건],건,13,13,12,14,3,11,12,경기
주거침입강제추행,발생건수[건],건,41,27,21,25,21,28,25,경기
절도강제추행,발생건수[건],건,0,0,0,0,0,0,0,경기
특수강도강제추행,발생건수[건],건,0,0,0,0,0,0,0,경기
아동학대처벌법위반(상습강제추행·추행),발생건수[건],건,0,0,0,0,0,0,0,경기
16세미만아동·청소년추행,발생건수[건],건,0,0,0,0,0,6,14,경기
기타 강간·강제추행 등,발생건수[건],건,85,71,67,71,38,48,51,경기
강간등상해·치상,발생건수[건],건,20,13,16,16,12,16,12,경기
강간등살인·치사,발생건수[건],건,0,0,0,0,0,2,1,경기
친족관계에의한강간등,발생건수[건],건,0,0,0,0,0,0,0,경기
장애인에대한준강간등,발생건수[건],건,5,4,4,2,2,0,2,경기
청소년에대한강간등,발생건수[건],건,42,39,28,29,16,17,30,경기
미성년자의제강간등,발생건수[건],건,0,0,0,0,0,0,0,경기
13세미만미성년자강간등,발생건수[건],건,4,2,9,10,5,8,3,경기
주거침입강간등,발생건수[건],건,6,7,8,10,2,3,1,경기
절도강간등,발생건수[건],건,0,1,0,0,0,0,0,경기
특수강도강간등,발생건수[건],건,8,5,2,4,1,1,2,경기
성폭력범죄의처벌및피해자보호등에관한법률위반,발생건수[건],건,0,0,0,0,0,1,0,경기
방화,발생건수[건],건,337,304,359,298,280,248,278,경기
방화,발생건수[건],건,0,0,0,0,0,0,0,경기
현주·공용건조물등방화,발생건수[건],건,189,156,220,174,159,139,162,경기
현주건조물등방화치상,발생건수[건],건,6,4,3,6,3,3,3,경기
현주건조물등방화치사,발생건수[건],건,3,2,3,3,1,2,2,경기
일반건조물등방화,발생건수[건],건,103,103,98,82,88,74,81,경기
자기소유건조물등방화,발생건수[건],건,5,11,3,8,8,11,5,경기
방화연소,발생건수[건],건,7,4,6,5,5,1,7,경기
진화방해,발생건수[건],건,0,0,0,0,0,0,0,경기
폭발성물건파열(치사·상),발생건수[건],건,2,2,2,0,0,0,3,경기
폭발성물건파열(과실),발생건수[건],건,3,6,3,5,3,7,6,경기
가스등방출(치사·상),발생건수[건],건,11,6,9,4,2,2,3,경기
가스등방출(과실),발생건수[건],건,0,0,0,0,0,0,0,경기
가스등공급사용방해(치사·상),발생건수[건],건,2,4,1,5,1,2,1,경기
가스등공급사용방해(과실),발생건수[건],건,1,0,1,0,0,0,0,경기
자동차방화,발생건수[건],건,5,6,10,6,10,7,5,경기
절도범죄,발생건수[건],건,44788,41417,41111,41955,40797,37367,41539,경기
절도,발생건수[건],건,39117,36741,36734,37512,36437,33581,38067,경기
절도(상습),발생건수[건],건,646,341,213,213,167,200,231,경기
특수절도,발생건수[건],건,3461,2916,2782,2659,2711,2075,1923,경기
특수절도(상습),발생건수[건],건,110,19,12,4,7,11,1,경기
야간주거침입절도,발생건수[건],건,1177,1184,1010,1129,938,839,776,경기
야간주거침입절도(상습),발생건수[건],건,46,9,13,36,8,19,4,경기
불법사용,발생건수[건],건,115,97,157,165,200,233,215,경기
불법사용(상습),발생건수[건],건,1,0,0,1,0,0,0,경기
특가법(절도),발생건수[건],건,115,110,190,236,329,409,322,경기
특가법(단체등의조직),발생건수[건],건,0,0,0,0,0,0,0,경기
폭력범죄,발생건수[건],건,75495,71994,72672,73825,68089,59885,63963,경기
상해,발생건수[건],건,9459,8116,7656,7033,6417,5291,5058,경기
상해,발생건수[건],건,9351,7987,7542,6910,6271,5158,4936,경기
상해(중),발생건수[건],건,9,13,12,16,15,10,9,경기
상해(상습),발생건수[건],건,7,8,8,7,5,3,3,경기
상해(상습중),발생건수[건],건,0,0,0,0,0,0,0,경기
상해치사,발생건수[건],건,10,11,10,12,7,7,6,경기
존속상해,발생건수[건],건,61,68,51,64,72,71,53,경기
존속상해(중),발생건수[건],건,0,0,0,0,2,0,0,경기
존속상해(상습),발생건수[건],건,1,0,1,1,0,1,1,경기
존속상해(상습중),발생건수[건],건,0,0,0,0,0,0,0,경기
존속상해치사,발생건수[건],건,4,1,1,1,3,1,4,경기
특가법(보복상해등),발생건수[건],건,7,11,2,5,5,2,7,경기
아동학대처벌법위반(상습상해),발생건수[건],건,2,0,1,0,0,1,0,경기
특수상해,발생건수[건],건,4,6,19,8,21,13,17,경기
특수상해(중),발생건수[건],건,0,1,0,0,1,1,2,경기
특수상해(상습),발생건수[건],건,0,0,0,1,1,1,0,경기
존속상해(특수·특수중),발생건수[건],건,3,10,9,8,14,22,20,경기
폭행,발생건수[건],건,42432,40958,41430,41920,36794,31075,33788,경기
폭행,발생건수[건],건,38963,37640,37906,38320,33286,27117,29520,경기
폭행(상습),발생건수[건],건,23,11,23,20,19,24,25,경기
폭행치상,발생건수[건],건,373,334,342,349,347,370,352,경기
폭행치사,발생건수[건],건,15,8,10,17,14,11,7,경기
특수폭행,발생건수[건],건,1966,1993,2148,2166,1938,1948,2270,경기
특수폭행(상습),발생건수[건],건,0,2,1,0,0,0,1,경기
특수폭행치상,발생건수[건],건,20,21,25,17,13,20,23,경기
특수폭행치사,발생건수[건],건,0,0,0,1,0,0,0,경기
존속폭행,발생건수[건],건,449,384,488,503,550,654,595,경기
존속폭행(특수),발생건수[건],건,4,6,12,5,21,21,31,경기
존속폭행(상습),발생건수[건],건,2,8,1,3,6,2,8,경기
존속폭행치상,발생건수[건],건,4,4,3,3,4,4,9,경기
존속폭행치사,발생건수[건],건,1,3,0,1,0,0,2,경기
특가법(운전자폭행등),발생건수[건],건,587,531,444,484,583,873,917,경기
특가법(보복폭행등),발생건수[건],건,11,5,14,18,5,14,15,경기
특가법(보복범죄등),발생건수[건],건,12,7,9,12,6,17,11,경기
아동학대처벌법위반(상습폭행),발생건수[건],건,2,1,4,1,2,0,2,경기
체포·감금,발생건수[건],건,294,323,317,324,303,261,287,경기
체포·감금,발생건수[건],건,243,273,268,277,260,202,233,경기
체포·감금(중),발생건수[건],건,9,6,7,6,10,5,3,경기
체포·감금(특수·특수중),발생건수[건],건,20,16,11,13,15,16,22,경기
체포·감금(상습·상습중),발생건수[건],건,0,0,0,0,0,0,0,경기
체포·감금치사상(중·특수·상습),발생건수[건],건,17,22,24,22,14,32,15,경기
존속체포·감금,발생건수[건],건,2,3,7,4,4,4,10,경기
존속체포·감금(중),발생건수[건],건,0,0,0,0,0,1,1,경기
존속체포·감금(특수·특수중),발생건수[건],건,1,1,0,0,0,0,0,경기
존속체포·감금(상습·상습중),발생건수[건],건,0,0,0,0,0,0,0,경기
존속체포·감금치사상(중·특수·상습),발생건수[건],건,0,1,0,1,0,0,0,경기
특가법(보복체포·감금등),발생건수[건],건,2,1,0,1,0,1,3,경기
아동학대처벌법위반(상습체포·감금),발생건수[건],건,0,0,0,0,0,0,0,경기
협박,발생건수[건],건,4241,4258,4883,5807,5878,5995,5958,경기
협박,발생건수[건],건,1915,1736,2132,2575,2600,2615,2413,경기
협박(특수),발생건수[건],건,2212,2450,2653,3102,3156,3203,3371,경기
협박(상습),발생건수[건],건,14,4,4,8,8,6,4,경기
협박(상습특수),발생건수[건],건,0,0,0,0,0,2,0,경기
존속협박,발생건수[건],건,57,37,54,73,66,66,72,경기
존속협박(특수),발생건수[건],건,16,19,14,28,29,56,58,경기
존속협박(상습),발생건수[건],건,0,0,1,1,0,0,1,경기
존속협박(상습특수),발생건수[건],건,1,0,0,0,0,0,0,경기
특가법(운전자협박),발생건수[건],건,0,0,0,0,0,0,0,경기
특가법(보복협박등),발생건수[건],건,26,12,25,20,19,47,39,경기
아동학대처벌법위반(상습협박),발생건수[건],건,0,0,0,0,0,0,0,경기
약취·유인,발생건수[건],건,55,55,51,82,63,67,77,경기
약취·유인(미성년자),발생건수[건],건,25,38,38,60,47,53,59,경기
약취·유인(추행·간음·결혼·영리),발생건수[건],건,26,14,12,13,10,13,17,경기
약취·유인(노동력착취·성매매·성적착취·장기적출),발생건수[건],건,0,0,0,6,2,1,0,경기
인신매매,발생건수[건],건,0,0,1,2,2,0,0,경기
인신매매(추행·간음·결혼·영리),발생건수[건],건,0,0,0,0,0,0,0,경기
인신매매등(노동력착취·성매매·성적착취·장기적출),발생건수[건],건,0,0,0,1,0,0,0,경기
국외이송약취·유인·인신매매,발생건수[건],건,0,3,0,0,0,0,1,경기
피약취자·피유인자·피매매자(상해·치상),발생건수[건],건,1,0,0,0,1,0,0,경기
피약취자·피유인자·피매매자(살해·치사),발생건수[건],건,0,0,0,0,0,0,0,경기
피약취자·피유인자·피매매자(수수·은닉),발생건수[건],건,0,0,0,0,0,0,0,경기
특가법(약취·유인등),발생건수[건],건,0,0,0,0,0,0,0,경기
특가법(13세미만약취·유인등),발생건수[건],건,1,0,0,0,1,0,0,경기
아동복지법위반(아동매매),발생건수[건],건,2,0,0,0,0,0,0,경기
아동학대처벌법위반(상습국외이송),발생건수[건],건,0,0,0,0,0,0,0,경기
아동학대처벌법위반(상습약취·유인·인신매매),발생건수[건],건,0,0,0,0,0,0,0,경기
아동학대처벌법위반(상습피약취자·피매매자·피유인자),발생건수[건],건,0,0,0,0,0,0,0,경기
폭력행위등,발생건수[건],건,3252,2756,2236,1967,1701,1515,1530,경기
폭력행위등처벌에관한법률위반(상습),발생건수[건],건,16,5,3,3,2,13,9,경기
폭력행위등처벌에관한법률위반(공동),발생건수[건],건,2848,2571,2108,1870,1630,1440,1485,경기
"폭력행위등처벌에관한법률위반(집단,흉기등)",발생건수[건],건,187,32,36,22,17,22,8,경기
"폭력행위등처벌에관한법률위반(상습집단,흉기등)",발생건수[건],건,4,1,3,0,0,1,0,경기
폭력행위등처벌에관한법률위반(야간·공동),발생건수[건],건,0,0,0,3,0,0,0,경기
폭력행위등처벌에관한법률위반(야간집단흉기등),발생건수[건],건,0,0,0,0,0,0,0,경기
폭력행위등처벌에관한법률위반(단체등의구성·활동),발생건수[건],건,21,22,16,27,18,18,13,경기
폭력행위등처벌에관한법률위반(단체등의[상습·공동·집단흉기등·상습집단흉기등]),발생건수[건],건,19,7,10,13,12,0,0,경기
폭력행위등처벌에관한법률위반(단체등의[상습·공동·상습특수]),발생건수[건],건,0,0,0,0,0,7,7,경기
폭력행위등처벌에관한법률위반(단체등의이용·지원),발생건수[건],건,3,1,0,0,0,0,0,경기
폭력행위등처벌에관한법률위반(우범자),발생건수[건],건,154,117,60,29,22,14,8,경기
공갈,발생건수[건],건,782,1052,970,1177,1306,1319,1911,경기
공갈,발생건수[건],건,765,1001,932,1117,1271,1290,1888,경기
공갈(상습),발생건수[건],건,14,17,9,36,10,6,5,경기
특경법(공갈),발생건수[건],건,1,5,5,10,5,2,5,경기
아동학대처벌법위반(상습공갈),발생건수[건],건,0,0,0,0,0,0,0,경기
특수공갈,발생건수[건],건,2,29,24,14,20,21,13,경기
특수공갈(상습),발생건수[건],건,0,0,0,0,0,0,0,경기
손괴,발생건수[건],건,14980,14476,15129,15515,15627,14362,15354,경기
손괴의죄,발생건수[건],건,14980,14476,15129,15515,15627,14362,15354,경기
아동학대처벌법위반(상습손괴),발생건수[건],건,0,0,0,0,0,0,0,경기
지능범죄,발생건수[건],건,72165,71135,81715,93292,105501,91869,98422,경기
직무유기,발생건수[건],건,93,90,116,78,140,134,323,경기
직무유기·수행거부,발생건수[건],건,93,90,116,78,140,133,321,경기
특가법(직무유기),발생건수[건],건,0,0,0,0,0,1,2,경기
폭력행위등처벌에관한법률위반(직무유기),발생건수[건],건,0,0,0,0,0,0,0,경기
직권남용,발생건수[건],건,87,98,102,112,169,148,462,경기
직권남용(권리행사방해·체포·감금),발생건수[건],건,47,60,78,75,122,104,368,경기
독직폭행·가혹행위,발생건수[건],건,30,28,22,27,34,28,81,경기
피의사실공표,발생건수[건],건,0,1,0,0,0,1,0,경기
공무상비밀누설,발생건수[건],건,7,3,1,10,8,11,11,경기
선거방해,발생건수[건],건,0,0,1,0,0,0,1,경기
"특가법(체포·감금,독직폭행·가혹행위)",발생건수[건],건,3,6,0,0,5,4,1,경기
증수뢰,발생건수[건],건,38,70,44,45,46,55,79,경기
뇌물수수등,발생건수[건],건,25,44,24,10,11,11,22,경기
뇌물공여등,발생건수[건],건,6,10,7,8,6,6,4,경기
특가법(뇌물),발생건수[건],건,4,2,2,1,7,9,26,경기
특가법(알선수재),발생건수[건],건,3,4,3,4,3,1,0,경기
부패방지법,발생건수[건],건,0,0,0,0,0,4,1,경기
부정청탁금지법,발생건수[건],건,0,10,8,22,19,24,26,경기
통화,발생건수[건],건,408,759,285,193,148,77,104,경기
통화위조·변조,발생건수[건],건,319,586,197,121,91,50,60,경기
특가법(통화위조),발생건수[건],건,10,5,1,0,0,0,0,경기
기타통화에관한죄,발생건수[건],건,79,168,87,72,57,27,44,경기
문서·인장,발생건수[건],건,2912,2521,2233,2395,2522,2346,2561,경기
공문서위조·변조,발생건수[건],건,717,562,481,512,488,359,492,경기
공전자기록등위작·변작,발생건수[건],건,6,7,14,7,9,13,16,경기
사문서위조·변조,발생건수[건],건,1891,1782,1622,1707,1675,1557,1611,경기
사전자기록등위작·변작,발생건수[건],건,89,66,50,83,247,311,323,경기
공인등의위조·부정사용및행사,발생건수[건],건,168,66,37,44,53,64,83,경기
사인등의위조·부정사용및행사,발생건수[건],건,41,38,29,42,50,42,36,경기
유가증권인지,발생건수[건],건,56,48,31,34,23,16,15,경기
유가증권위조·변조,발생건수[건],건,56,48,30,34,23,16,15,경기
우표(인지)등위조·변조,발생건수[건],건,0,0,1,0,0,0,0,경기
사기,발생건수[건],건,54907,53752,63210,74317,85718,74599,78368,경기
사기,발생건수[건],건,52589,51472,61464,71947,81297,67719,70500,경기
사기(상습),발생건수[건],건,508,511,116,175,230,91,99,경기
준사기,발생건수[건],건,14,20,17,23,29,29,36,경기
준사기(상습),발생건수[건],건,0,0,0,0,0,0,0,경기
컴퓨터등사용사기,발생건수[건],건,1338,996,485,630,2093,4923,5954,경기
편의시설부정이용,발생건수[건],건,15,123,229,347,625,350,342,경기
부당이득,발생건수[건],건,8,12,15,13,15,8,8,경기
부당이득(상습),발생건수[건],건,0,0,0,0,0,0,0,경기
특경법(사기),발생건수[건],건,429,369,491,533,598,508,717,경기
보험사기방지특별법위반,발생건수[건],건,6,249,393,649,831,971,712,경기
횡령,발생건수[건],건,12769,12940,14760,15208,15703,13759,15665,경기
횡령,발생건수[건],건,2885,2462,2552,2502,2649,2118,2265,경기
업무상횡령,발생건수[건],건,1251,1238,1256,1331,1318,1094,1227,경기
